"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100216757010478_ereg_M221",0.785,1.039,0.552,0.463,0.212,0.428,0.202,0,0.202
"100216847010661_ereg_212",0.598,0.701,0.638,0.661,0.504,0.576,0.371,0,0.371
"100217157010661_ereg_212",0.62,0.725,0.73,0.556,0.535,1.297,0.347,0,0.347
"100217251010661_ereg_212",0.231,0.512,0.431,0.48,0.659,0.629,0.365,0,0.365
"100217401010661_ereg_212",0.454,0.755,0.477,0.613,0.602,0.713,0.453,0,0.453
"100217511010661_ereg_212",0.387,0.637,0.67,0.453,0.484,0.482,0.386,0,0.386
"100217607010661_ereg_212",0.206,0.326,0.24,0.283,0.522,0.243,0,0,0
"100218267010661_ereg_212",0.551,0.881,0.467,0.847,0.848,0.665,0.49,0,0.49
"100218274010478_ereg_221",0.296,0.594,0.841,0.6,1.176,0.211,0,0,0
"100218359010661_ereg_212",0.74,0.769,0.582,1.034,0.612,1.003,0.496,0,0.496
