"temp","prec","therm","deficit","moisture"
"100215569010661_ereg_212",-3.527,811.12,659.736,1268.47,-0.923
"100215666010661_ereg_212",-6.23,826.453,93.296,2327.387,0
"100216135010478_ereg_M221",7.183,1125.889,988.004,1634.572,0.017
"100216362010478_ereg_M221",7.195,1186.852,1026.448,1557.217,0
"100216499010661_ereg_212",-7.475,768.142,265.933,1503.187,0
"100216757010478_ereg_M221",7.022,1132.552,975.402,1574.424,0.344
"100216847010661_ereg_212",-3.707,828.743,199.417,1711.289,0.296
"100217157010661_ereg_212",-6.05,862.369,285.001,1365.482,0
"100217251010661_ereg_212",-6.777,805.966,215.71,1765.413,1
"100217401010661_ereg_212",-7.995,828.122,265.077,1776.896,-0.757
"100217511010661_ereg_212",-7.808,830.825,481.184,1107.399,-0.133
"100217607010661_ereg_212",-8.53,791.183,137.706,1785.769,-0.675
"100218267010661_ereg_212",-5.157,764.022,535.065,1137.88,0
"100218274010478_ereg_221",7.56,1040.751,649.366,2158.337,-0.107
"100218359010661_ereg_212",-7.882,718.687,534.748,1252.735,1
"100218532010478_ereg_231",7.79,1056.995,674.596,2121.992,0.375
"100218685010661_ereg_222",-4.98,807.815,438.103,2032,0.185
"100218793010661_ereg_222",-5.218,722.672,860.226,1125.574,-0.178
"100218898010478_ereg_221",8.268,1057.004,388.381,2657.741,-0.177
"100219007010478_ereg_M221",9.345,1248.065,1395.86,1136.456,-0.043
"100219065010661_ereg_222",-5.51,805.977,414.904,1956.458,0.598
"100219115010478_ereg_M221",8.31,1024.702,1386.332,1176.014,0
"100219373010478_ereg_M221",7.793,1073.273,1316.071,1141.184,-0.366
"100219456010478_ereg_M221",7.445,1310.059,1298.035,1116.504,0.215
"100219641010478_ereg_M221",6.942,1114.856,756.979,1616.614,-0.642
"100219690010661_ereg_222",-2.525,901.926,175.084,2381.58,-0.053
"100220055010478_ereg_231",9.008,1066.98,642.91,2276.66,0
"100220216010661_ereg_212",-5.367,749.599,393.371,1888.476,-0.614
"100220451010478_ereg_231",11.372,1169.258,1250.099,1530.75,0.322
"100220996010661_ereg_212",-9.887,763.833,292.798,1412.584,0
"100221236010661_ereg_212",-8.095,782.891,202.516,1739.933,0
"100221310010478_ereg_M221",4.825,997.67,556.325,2117.596,0.154
"100221332010661_ereg_212",-8.27,785.788,138.372,1805.857,-0.24
"100221415010661_ereg_212",-8.13,755.386,210.62,1781.939,-0.189
"100221422010478_ereg_M221",4.898,1001.367,561.403,2238.882,0.478
"100221538010478_ereg_M221",5.605,1092.336,777.62,1515.159,-0.944
"100221573010661_ereg_212",-7.09,769.248,305.356,1407.917,-0.731
"100221620010478_ereg_M221",5.868,1126.067,802.282,1559.969,-1
"100221710010661_ereg_212",-7.677,753.428,215.748,1833.122,0.043
"100221846010478_ereg_M221",7.558,1068.637,842.117,1770.982,0.218
"100221948010478_ereg_M221",7.78,1057.988,1308.09,1045.591,0
"100221974010661_ereg_212",-7.82,774.193,158.225,1847.092,-0.405
"100222029010478_ereg_M221",4.628,1218.6,1272.928,857.376,-1
"100222034010661_ereg_212",-8.38,741.204,223.384,1847.156,-0.541
"100222081010478_ereg_M221",6.587,950.31,793.656,1528.845,0
"100222376010478_ereg_232",9.02,1154.475,940.601,2029.052,0.277
"100222444010661_ereg_212",-8.73,753.849,248.734,1810.386,1
"100222694010478_ereg_231",9.265,1071.795,662.206,2280.882,0.736
"100222731010661_ereg_212",-9.335,809.54,139.228,1760.729,0
"100222818010478_ereg_231",9.427,1098.339,674.801,2312.446,-0.679
"100222858010661_ereg_212",-9.225,759.333,199.483,1819.878,0
"100223020010478_ereg_M221",5.782,1331.75,1360.246,886.573,0
"100223095010661_ereg_212",-7.692,751.556,220.927,1821.236,0.147
"100223216010478_ereg_M221",7.545,1095.557,1033.021,1375.243,1
"100223266010478_ereg_M221",5.242,1256.304,835.504,1499.074,0.418
"100223516010661_ereg_212",-6.065,820.964,125.269,2265.705,-1
"100223716010478_ereg_232",11.585,1131.31,1335.966,1638.919,0
"100224051010478_ereg_232",10.652,1121.303,495.686,2589.105,0.335
"100224119010478_ereg_231",10.725,1163.156,700.548,2295.119,0.005
"100224208010478_ereg_231",11.295,1154.236,720.971,2225.123,0.645
"100224371010661_ereg_222",-3.545,843.571,181.559,2302.834,-0.778
"100224578010661_ereg_222",-2.76,852.141,190.686,2433.989,-0.307
"100224626010478_ereg_231",10.595,1142.55,718.638,2380.706,1
"100225046010661_ereg_222",-3.705,929.171,119.3,2344.726,-0.011
"100225136010661_ereg_222",-2.94,948.473,176.79,2376.986,-0.051
"100225146010478_ereg_232",11.21,1172.114,936.984,2064.176,0.622
"100225219010661_ereg_212",-4.73,835.893,473.938,1504.955,0.835
"100225529010478_ereg_M221",6.473,1122.19,922.828,1561.689,-0.889
"100225624010661_ereg_212",-4.985,860.38,303.455,1692.322,-0.223
"100225651010478_ereg_M221",7.308,1161.373,685.474,2001.78,-1
