"latitude","longitude","elevation"
"314",46.3641,-88.9556,496.471801757812
"315",46.3825,-88.3695,520.29150390625
"316",39.2567,-78.4006,368.915374755859
"317",46.3845,-88.2204,519.510498046875
"318",46.3183,-88.5998,478.085815429688
"319",39.3001,-78.2253,198.783966064453
"320",37.2357,-80.9118,905.409301757812
"321",46.2119,-88.6386,470.874237060547
"322",37.337,-80.8624,892.08251953125
"323",46.1646,-88.4844,424.385101318359
"324",37.3144,-80.541,669.210815429688
"325",37.4172,-80.6291,809.050354003906
"326",46.1502,-88.6604,478.892272949219
"327",37.3947,-80.5242,1090.55102539062
"328",46.1672,-88.3025,460.398132324219
"329",37.3905,-80.6806,967.278564453125
"330",37.5193,-76.5818,28.3515167236328
"331",46.0745,-88.5123,497.082946777344
"332",37.7791,-78.0744,89.2491607666016
"333",46.2056,-88.8148,484.522094726562
"334",37.6658,-77.7875,97.1592559814453
"335",46.0704,-88.6839,496.406402587891
"336",36.7327,-81.3374,1128.55871582031
"337",46.3765,-88.5383,465.985778808594
"338",36.6386,-81.3513,1007.75323486328
"339",38.313,-78.5823,500.325622558594
"340",43.6486,-85.0291,284.508850097656
"341",36.596,-77.5725,42.2122421264648
"342",37.4675,-77.2389,32.6642112731934
"343",36.8039,-79.9316,334.759124755859
"344",36.5983,-79.9063,326.231567382812
"345",42.1873,-84.1817,294.947570800781
"346",42.1305,-84.2018,295.171020507812
"347",36.7249,-79.706,315.878875732422
"348",42.1354,-85.4473,266.026550292969
"349",42.1727,-85.7135,282.846160888672
"350",36.9421,-77.3542,23.6161689758301
"351",44.844,-85.1749,332.765228271484
"352",37.1171,-81.7318,730.568603515625
"353",44.8378,-84.8613,387.647735595703
"354",37.0503,-81.6332,963.100219726562
"355",37.0413,-81.4843,701.883911132812
"356",37.2648,-81.3718,849.304138183594
"357",37.1933,-81.5712,677.423217773438
"358",44.6551,-85.2593,310.842468261719
"359",36.9552,-81.6752,781.296936035156
"360",44.6105,-84.9488,336.992462158203
"361",44.5258,-85.143,315.047912597656
"362",36.6431,-82.1582,614.042358398438
