"plotLon","plotLat"
"100523155010478_ereg_231",-90.668,31.7661
"100523502010478_ereg_231",-90.7066,31.7656
"100524435010478_ereg_231",-89.673,34.1272
"100524838010478_ereg_231",-89.7287,33.9099
"100525484010478_ereg_231",-89.823,34.1261
"100527312010478_ereg_231",-89.8373,34.6679
"100527410010478_ereg_231",-89.8384,34.7542
"100527592010478_ereg_231",-89.9352,34.6197
"100528181010478_ereg_231",-90.1475,34.6219
"100529791010478_ereg_231",-88.834,34.9037
"100530004010478_ereg_231",-88.7775,34.6021
"100532418010478_ereg_231",-89.0401,34.7727
"100532680010478_ereg_231",-89.0427,34.6464
"100533207010478_ereg_231",-88.3314,34.952
"100533745010478_ereg_231",-88.2089,34.9579
"100533884010478_ereg_231",-88.2197,34.902
"100535881010478_ereg_231",-88.1135,34.8893
"100536141010478_ereg_231",-88.7836,34.562
"100537236010478_ereg_231",-88.9439,34.5172
"100540714010478_ereg_231",-89.3414,33.5953
"100540863010478_ereg_231",-89.4189,33.7049
"100541561010478_ereg_231",-89.3251,33.4973
"100543469010478_ereg_231",-91.2107,31.0244
"100545032010478_ereg_231",-91.3147,31.2871
"100546206010478_ereg_231",-91.3432,31.3265
"100546241010478_ereg_234",-91.4211,31.2417
"100546588010478_ereg_231",-91.5266,31.0274
"100547290010478_ereg_231",-91.1666,31.2379
"100547456010478_ereg_231",-91.4455,31.0025
"100548650010478_ereg_231",-88.9569,33.2203
"100548788010478_ereg_231",-88.962,33.1297
"100549148010478_ereg_231",-89.0058,32.963
"100550513010478_ereg_231",-89.0929,33.1115
"100550893010478_ereg_231",-88.8629,33.1762
"100551295010478_ereg_231",-89.2175,33.0452
"100555090010478_ereg_231",-88.9589,32.843
"100555188010478_ereg_231",-88.9491,32.7903
"100555492010478_ereg_231",-88.9412,32.5797
"100555615010478_ereg_231",-88.9955,32.5805
"100557446010478_ereg_231",-89.156,32.8848
"100559021010478_ereg_231",-89.3091,32.79
"100560205010478_ereg_231",-88.9229,32.9082
"100560279010478_ereg_231",-89.2357,32.8152
"100560680010478_ereg_231",-89.3091,32.528
"100561831010478_ereg_231",-89.0507,32.3596
"100562171010478_ereg_231",-89.0947,32.2689
"100562589010478_ereg_231",-89.0994,32.5316
"100562733010478_ereg_231",-89.1469,32.5321
"100565105010478_ereg_231",-89.3046,32.3997
"100565861010478_ereg_231",-88.3542,33.2793
"100566284010478_ereg_231",-88.3901,33.0616
